epoch,loss,lr,threshold,accuracy,sensitivity,specificity,f1,auc,tp,fn,tn,fp
1,59.94720405340195,0.00036215286213109343,0.7310000000000006,81.99725148877691,65.44117647058823,89.48769128409847,69.36866718628215,88.38519040350673,445,235,1345,158
2,48.229789674282074,0.001042756786839441,0.3130000000000002,83.64635822262942,75.44117647058823,87.35861610113108,74.18655097613883,89.20678251340456,513,167,1313,190
3,47.19962015748024,0.0017217402213456352,0.4230000000000003,83.82959230416857,66.61764705882354,91.61676646706587,71.96187450357426,89.27678955813863,453,227,1377,126
4,44.656665965914726,0.001999998972961229,0.46300000000000036,84.69995419147962,67.94117647058823,92.28210246174318,73.44992050874404,90.88651129114321,462,218,1387,116
5,41.530844025313854,0.00198050474609764,0.5780000000000005,85.29546495648191,65.1470588235294,94.41117764471058,73.40513670256836,92.01166294861258,443,237,1419,84
6,39.848152339458466,0.0019233304254326713,0.5950000000000005,83.50893266147503,68.08823529411765,90.48569527611444,72.00622083981338,90.71156706195451,463,217,1360,143
7,38.528757721185684,0.0018306731880457499,0.44500000000000034,86.16582684379294,76.32352941176471,90.6187624750499,77.46268656716418,92.07203240577668,519,161,1362,141
8,37.88373567163944,0.0017060937996068782,0.4300000000000003,85.93678424186899,67.3529411764706,94.34464404524284,74.89779231398201,91.53580094712537,458,222,1418,85
9,36.61485034227371,0.0015543797761488358,0.5770000000000005,85.20384791571233,73.23529411764706,90.6187624750499,75.5117513267627,91.41476850221126,498,182,1362,141
10,34.54626806080341,0.0013813614025109109,0.5940000000000005,84.65414567109482,69.8529411764706,91.35063206919494,73.92996108949416,91.2000998003992,475,205,1373,130
11,32.39085237681866,0.0011936876777621864,0.6050000000000005,86.25744388456252,71.61764705882354,92.88090485695277,76.45211930926217,92.18425893311417,487,193,1396,107
12,30.290439516305923,0.0009985707978961192,0.33200000000000024,85.02061383417315,74.70588235294117,89.68729208250166,75.65152643335816,91.3349771046143,508,172,1348,155
13,28.692947059869766,0.0008035089951831552,0.5860000000000005,85.3412734768667,73.08823529411765,90.88489687292082,75.64687975646879,91.62478963641345,497,183,1366,137
14,25.31531510874629,0.0006159983853096342,0.3840000000000003,85.38708199725149,72.3529411764706,91.28409846972721,75.51803530314659,91.82908692419083,492,188,1372,131
15,22.18524681776762,0.0004432448958558342,0.3000000000000002,84.42510306917087,73.08823529411765,89.5542248835662,74.5127436281859,90.37102266056124,497,183,1346,157
16,18.565402526408434,0.0002918873465401917,0.34000000000000025,84.19606046724691,75.73529411764706,88.02395209580838,74.9090909090909,90.86425188838011,515,165,1323,180
17,15.821110039949417,0.00016774232310061538,0.7490000000000007,84.19606046724691,62.35294117647059,94.07850964737192,71.081307627829,90.35463386951588,424,256,1414,89
18,12.095697477459908,7.558064916655679e-05,0.44800000000000034,84.51672010994045,68.67647058823529,91.6833000665336,73.42767295597484,90.40340886853744,467,213,1378,125
19,9.885968463495374,1.89440461824398e-05,0.8320000000000007,84.19606046724691,63.6764705882353,93.47970725216234,71.51114781172585,90.52375640875113,433,247,1405,98
20,9.067344629205763,9.027038770793418e-09,0.5350000000000005,84.33348602840128,69.41176470588235,91.08449767132402,73.4059097978227,90.51910884114125,472,208,1369,134
