epoch,mean_loss,lr,threshold,accuracy,sensitivity,specificity,f1,auc,tp,fn,tn,fp
1,0.7084426529651141,0.00028106251789435175,0.5790000000000005,79.20293174530462,63.088235294117645,86.49367930805056,65.39634146341463,83.56776642792846,429,251,1300,203
2,0.4484313304406883,0.0007621203318542208,0.2720000000000002,82.86761337608796,75.0,86.42714570858283,73.17073170731707,87.6042033579899,510,170,1299,204
3,0.3826044124625895,0.0009999995451177674,0.1880000000000001,83.46312414109023,75.58823529411765,87.02594810379242,74.01007919366451,89.01310124848342,514,166,1308,195
4,0.33589714069436066,0.0009913622072501337,0.6700000000000006,83.92120934493816,65.44117647058823,92.28210246174318,71.7163577759871,90.0832648428633,445,235,1387,116
5,0.30260978475974426,0.0009659921868462093,0.1780000000000001,84.69995419147962,78.23529411764706,87.62475049900199,76.10872675250357,90.54034088685374,532,148,1317,186
6,0.28160633331667767,0.000924753429522864,0.6280000000000006,84.10444342647733,74.55882352941177,88.42315369261478,74.50404114621601,90.46945325036202,507,173,1329,174
7,0.26351774554618085,0.0008690502717003069,0.4940000000000004,85.15803939532753,73.52941176470588,90.41916167664671,75.52870090634441,91.16477828656413,500,180,1359,144
8,0.24655701470201033,0.0008007796176096107,0.4010000000000003,84.24186898763169,70.29411764705883,90.55222887558217,73.53846153846153,89.76204453837423,478,202,1361,142
9,0.22948218740686013,0.0007222663424942099,0.6550000000000006,84.69995419147962,75.44117647058823,88.88888888888889,75.44117647058823,91.09110210950648,513,167,1336,167
10,0.20437920082659616,0.000636184121771865,0.33300000000000024,84.28767750801649,72.20588235294117,89.75382568196939,74.11320754716981,90.82051583108294,491,189,1349,154
11,0.18078049152654452,0.0005454643822250314,0.3860000000000003,85.06642235455794,71.91176470588235,91.01796407185628,75.0,91.08777542953308,489,191,1368,135
12,0.1543188804801363,0.00045319647577764217,0.3050000000000002,85.11223087494274,72.79411764705883,90.68529607451764,75.2851711026616,91.04873586161013,495,185,1363,140
13,0.12777434006659655,0.0003625224753206064,0.3860000000000003,84.56252863032525,79.41176470588235,86.89288090485695,76.21736062103035,90.98758365621697,540,140,1306,197
